订单编号,订单状态,下单时间,发货时间,支付方式,商品型号,商品编码,商品件数,商品金额,优惠金额,实付金额,收货人姓名,收货人手机,收货人地址
81417556230095,已完成,2021-01-22 03:13:29,2021-01-29 17:25:58,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,樊坤,18045444426,湖北省丽丽市六枝特高路f座 811194
81417556232496,已关闭,2021-01-26 22:23:26,2021-01-27 23:08:57,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,刘莉,18981922092,广东省晶县高明重庆街C座 245006
81417556230669,已完成,2021-01-21 13:04:32,2021-01-30 06:00:25,借记卡,哇鸥顺意优享礼盒,2110,3,3354,0,3354,黄欣,13651311995,河北省燕市山亭刘路H座 352954
81417556230688,已关闭,2021-01-25 10:14:29,2021-02-01 09:10:00,借记卡,哇鸥顺意优享礼盒,2110,1,1118,40,1078,程丽,13846672912,江西省郑州县房山合肥街L座 600309
81417556230447,已关闭,2021-01-22 16:03:30,2021-01-30 23:16:53,借记卡,哇鸥心意优享礼盒,2102,4,2668,20,2648,周桂芝,15708740139,江苏省石家庄县朝阳汕尾路b座 135032
81417556231923,已关闭,2021-01-29 00:35:57,2021-01-29 18:01:32,借记卡,哇鸥乐意优享礼盒,2101,1,445,20,425,刘丹丹,13021043266,山西省张家港县清河合山街y座 667668
81417556232185,已完成,2021-01-23 16:43:00,2021-01-26 15:14:45,借记卡,哇鸥心意优享礼盒,2102,1,667,20,647,杜秀华,15594316378,青海省南昌县城北孟街L座 296121
81417556232017,已完成,2021-01-21 02:37:38,2021-01-23 03:04:54,借记卡,哇鸥乐意优享礼盒,2101,1,445,30,415,许丽丽,18978868665,浙江省平县门头沟阎路i座 535169
81417556232512,已关闭,2021-01-22 11:47:55,2021-01-30 12:06:51,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,傅辉,13695179239,海南省呼和浩特市滨城永安街t座 892861
81417556230310,已关闭,2021-01-30 00:50:12,2021-02-01 08:12:50,借记卡,哇鸥乐意优享礼盒,2101,2,890,20,870,季艳,13155730608,西藏自治区梧州市翔安高街w座 123036
81417556230400,已完成,2021-01-25 01:33:25,2021-01-27 15:43:52,借记卡,哇鸥顺意优享礼盒,2110,2,2236,20,2216,徐莉,15033908863,江苏省桂芝市上街拉萨路c座 355063
81417556232569,已关闭,2021-01-22 07:41:27,2021-01-25 15:40:11,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,侯玉梅,18008601488,河北省凤兰市西峰关岭路f座 979706
81417556231946,已完成,2021-01-25 00:23:32,2021-01-29 08:11:23,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,李春梅,15869724232,山西省凤兰县双滦钟街n座 629295
81417556230931,已关闭,2021-01-23 00:02:46,2021-01-26 06:28:48,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,温建华,13507926931,吉林省沈阳县沈河重庆路v座 535005
81417556230591,已完成,2021-01-23 04:18:59,2021-01-24 05:51:51,借记卡,哇鸥乐意优享礼盒,2101,5,2225,0,2225,杨欣,14524159069,西藏自治区博市长寿李街r座 570237
81417556230776,已关闭,2021-01-25 09:11:40,2021-02-01 00:26:05,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,彭磊,13944167948,上海市建市崇文通辽路w座 383776
81417556231434,已关闭,2021-01-26 22:36:04,2021-01-29 18:03:48,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,唐鑫,14503847663,山西省澳门县东城香港路B座 483791
81417556232057,已关闭,2021-01-25 23:58:10,2021-02-01 19:22:40,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,马强,18519855809,台湾省桂珍市东丽海门路Y座 555940
81417556231771,已关闭,2021-01-26 19:11:51,2021-01-31 11:01:51,借记卡,哇鸥心意优享礼盒,2102,7,4669,0,4669,刘亮,13913857792,西藏自治区健县和平戴街u座 132011
81417556230814,已完成,2021-01-24 07:32:05,2021-01-30 19:55:59,借记卡,哇鸥乐意优享礼盒,2101,5,2225,40,2185,王兰英,18244486794,北京市东莞市浔阳刘街y座 487135
81417556231767,已关闭,2021-01-22 23:48:36,2021-01-28 15:04:56,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,叶桂荣,18571332839,宁夏回族自治区西安市长寿周路n座 387329
81417556230497,已关闭,2021-01-26 23:19:40,2021-01-29 22:49:25,借记卡,哇鸥乐意优享礼盒,2101,5,2225,0,2225,杨海燕,15534796443,江西省阜新市沙市呼和浩特路h座 104933
81417556230928,已关闭,2021-01-23 12:24:59,2021-01-27 01:26:55,借记卡,哇鸥顺意优享礼盒,2110,2,2236,30,2206,何云,15759485439,重庆市晨市门头沟陈路K座 522477
81417556231583,已完成,2021-01-21 17:33:02,2021-01-25 09:38:45,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,程倩,13041384248,西藏自治区长沙县高坪海口街U座 184944
81417556230217,已关闭,2021-01-22 23:14:59,2021-01-26 15:33:56,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,任波,13205165504,澳门特别行政区合山县沈北新长春路y座 606461
81417556230619,已关闭,2021-01-26 16:22:30,2021-01-30 08:21:16,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,符雷,14535918589,陕西省文县南湖天津路V座 697810
81417556232672,已完成,2021-01-23 14:00:43,2021-01-27 00:03:33,借记卡,哇鸥心意优享礼盒,2102,2,1334,20,1314,李兰英,15140783174,江苏省建军县友好卢街e座 466334
81417556230921,已完成,2021-01-23 23:37:18,2021-01-28 00:45:45,借记卡,哇鸥心意优享礼盒,2102,3,2001,0,2001,向霞,18075140957,江西省琳市白云柳州路P座 512498
81417556231717,已完成,2021-01-25 18:42:45,2021-01-26 07:32:43,借记卡,哇鸥心意优享礼盒,2102,4,2668,0,2668,陆畅,15572231651,湖南省桂芝市花溪西安路y座 823146
81417556230844,已完成,2021-01-22 22:18:54,2021-01-31 18:05:51,借记卡,哇鸥心意优享礼盒,2102,3,2001,30,1971,王秀荣,13769479634,山西省合山市西夏辽阳街Z座 763275
81417556231249,已关闭,2021-01-22 11:01:23,2021-01-22 15:36:25,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,苗琳,15082381242,新疆维吾尔自治区桂香县崇文江街L座 266646
81417556232751,已完成,2021-01-23 09:08:05,2021-01-28 07:30:22,借记卡,哇鸥顺意优享礼盒,2110,3,3354,0,3354,窦丹丹,15675435302,重庆市梧州市金平澳门路h座 832058
81417556230385,已关闭,2021-01-27 16:08:32,2021-01-27 23:08:05,借记卡,哇鸥乐意优享礼盒,2101,2,890,20,870,李桂芝,15866352366,广东省武汉市西夏通辽路V座 936326
81417556232363,已关闭,2021-01-24 03:43:57,2021-01-29 18:37:26,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,蒋玉兰,13026013392,澳门特别行政区合肥县花溪章路b座 653182
81417556230427,已完成,2021-01-23 20:35:01,2021-01-30 12:30:36,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,谭涛,13164337908,辽宁省西宁市高明张路S座 721136
81417556231502,已关闭,2021-01-23 00:34:34,2021-01-25 02:05:55,借记卡,哇鸥心意优享礼盒,2102,1,667,20,647,马桂珍,13686291516,云南省艳县闵行邢路D座 899165
81417556232490,已完成,2021-01-29 11:18:23,2021-02-01 20:44:30,借记卡,哇鸥乐意优享礼盒,2101,2,890,40,850,蒋亮,15882928370,澳门特别行政区洋县合川刘街Y座 440083
81417556231935,已完成,2021-01-30 08:22:51,2021-02-01 20:26:38,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,喻东,18781868520,广西壮族自治区广州市牧野贺路F座 666942
81417556232149,已完成,2021-01-30 10:18:39,2021-01-30 22:56:52,借记卡,哇鸥心意优享礼盒,2102,6,4002,0,4002,徐建华,15602360749,河北省芳县秀英惠州街i座 303830
81417556230399,已关闭,2021-01-24 22:10:28,2021-01-30 13:13:49,借记卡,哇鸥顺意优享礼盒,2110,4,4472,0,4472,陈鹏,15185743327,山西省台北市南湖邯郸街N座 605464
81417556232348,已完成,2021-01-26 20:19:50,2021-01-28 14:44:41,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,王娜,15552921121,吉林省兰英县南溪李路Y座 859507
81417556232611,已关闭,2021-01-30 19:44:49,2021-01-31 18:20:21,借记卡,哇鸥乐意优享礼盒,2101,3,1335,0,1335,宋丽,13155477897,北京市桂香市清城董路P座 810295
81417556231823,已关闭,2021-01-29 23:21:36,2021-01-30 23:50:49,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,白淑兰,15772698499,辽宁省建平市和平张路p座 225925
81417556232697,已完成,2021-01-22 08:33:50,2021-01-30 19:41:10,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,魏琴,13946373491,山东省鹏市房山张路l座 477224
81417556231556,已完成,2021-01-22 04:34:29,2021-01-31 22:07:11,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,陈林,15108016839,上海市天津市翔安郭街P座 106994
81417556230812,已完成,2021-01-21 06:30:18,2021-01-25 12:10:44,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,牛洁,13554240408,内蒙古自治区惠州县永川潜江路c座 827156
81417556232810,已完成,2021-01-30 00:55:48,2021-01-31 23:28:47,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,靳飞,13424165767,内蒙古自治区合山县合川张街l座 506296
81417556232591,已关闭,2021-01-24 15:49:33,2021-01-31 21:37:12,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,邓欣,15067066449,四川省广州县平山张路g座 158577
81417556231817,已完成,2021-01-26 04:41:10,2021-02-01 20:01:45,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,王旭,15904377872,安徽省红梅县六枝特王街v座 878134
81417556230612,已关闭,2021-01-22 14:09:37,2021-01-25 09:25:52,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,尹淑华,13597660282,安徽省宜都县龙潭金路y座 146575
81417556232407,已完成,2021-01-27 03:46:16,2021-01-29 18:59:10,借记卡,哇鸥心意优享礼盒,2102,3,2001,0,2001,王敏,15626322871,内蒙古自治区英县大东蒙路T座 139335
81417556231116,已关闭,2021-01-21 01:26:31,2021-01-23 09:17:48,借记卡,哇鸥顺意优享礼盒,2110,2,2236,20,2216,任燕,14507595924,四川省莉县永川潮州路u座 314786
81417556230909,已完成,2021-01-24 18:40:36,2021-01-29 21:52:54,借记卡,哇鸥乐意优享礼盒,2101,4,1780,0,1780,李杰,13777697578,江苏省玉华县东城王路x座 533929
81417556230636,已关闭,2021-01-26 03:07:50,2021-01-27 07:24:54,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,齐成,13761459631,新疆维吾尔自治区丹丹县涪城郭路S座 801898
81417556231851,已完成,2021-01-25 07:39:26,2021-01-27 01:52:34,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,侯杰,18144017715,甘肃省莹县白云合肥街n座 939051
81417556230699,已关闭,2021-01-26 08:13:45,2021-01-30 09:20:22,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,马秀梅,18862884604,北京市南京市房山齐齐哈尔路G座 495852
81417556231915,已关闭,2021-01-30 09:57:23,2021-01-30 23:13:19,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,张琳,15206244177,海南省刚市滨城北京街u座 761461
81417556231148,已完成,2021-01-26 04:47:48,2021-02-01 11:05:06,借记卡,哇鸥心意优享礼盒,2102,4,2668,0,2668,罗岩,15009508441,广西壮族自治区云市怀柔海门路k座 112782
81417556231076,已关闭,2021-01-22 15:36:14,2021-01-30 12:33:56,借记卡,哇鸥心意优享礼盒,2102,3,2001,20,1981,赵畅,13660515684,贵州省杨县新城淮安路S座 557173
81417556232597,已关闭,2021-01-22 05:52:48,2021-02-01 05:36:39,借记卡,哇鸥心意优享礼盒,2102,1,667,40,627,谢桂芳,14734899568,广西壮族自治区敏县锡山重庆街o座 331310
81417556231654,已关闭,2021-01-25 11:06:09,2021-02-01 23:53:00,借记卡,哇鸥乐意优享礼盒,2101,1,445,30,415,江宁,15526827699,台湾省邯郸县永川袁街A座 614080
81417556232420,已完成,2021-01-25 01:07:17,2021-01-27 09:54:39,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,杨华,15906674998,辽宁省涛市城东谢街c座 259353
81417556232786,已完成,2021-01-22 13:12:58,2021-01-30 23:33:29,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,赵浩,15627748610,上海市北京县友好吴街j座 317681
81417556232184,已关闭,2021-01-24 08:51:21,2021-01-30 11:07:31,借记卡,哇鸥乐意优享礼盒,2101,2,890,20,870,张颖,13432747214,甘肃省兰州市怀柔陈路R座 774649
81417556232722,已关闭,2021-01-24 12:15:05,2021-01-27 06:16:52,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,范丽华,14778931780,新疆维吾尔自治区武汉县沈北新阜新街B座 477027
81417556231645,已关闭,2021-01-27 07:25:45,2021-01-30 20:05:03,借记卡,哇鸥乐意优享礼盒,2101,1,445,40,405,陈晨,18700951242,黑龙江省飞市西夏车路E座 663400
81417556231536,已完成,2021-01-21 02:31:30,2021-01-23 09:26:11,借记卡,哇鸥乐意优享礼盒,2101,4,1780,0,1780,匡晶,13210233666,青海省超市房山呼和浩特街Y座 448458
81417556232901,已关闭,2021-01-22 21:16:07,2021-02-01 12:03:51,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,谭玉,14782417602,广东省潜江市吉区潮州街v座 478924
81417556232088,已关闭,2021-01-31 17:13:33,2021-02-01 09:11:04,借记卡,哇鸥乐意优享礼盒,2101,1,445,30,415,郑华,13647171955,台湾省建国县海港阜新街Y座 311174
81417556231465,已关闭,2021-01-24 09:26:12,2021-01-31 16:30:59,借记卡,哇鸥顺意优享礼盒,2110,2,2236,40,2196,兰建军,15943796853,湖南省丹市高明周街B座 254114
81417556232630,已关闭,2021-01-28 06:07:38,2021-02-01 23:38:16,借记卡,哇鸥乐意优享礼盒,2101,1,445,40,405,廖娟,18856310794,山西省贵阳市东城李街f座 460389
81417556232231,已完成,2021-01-30 07:47:14,2021-02-01 08:18:05,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,王凤兰,18548331970,辽宁省帆市永川郑州路y座 415833
81417556231040,已关闭,2021-01-21 20:58:19,2021-01-24 12:44:13,借记卡,哇鸥乐意优享礼盒,2101,1,445,40,405,叶淑华,15326475736,宁夏回族自治区梅市上街汕尾街n座 513562
81417556230697,已关闭,2021-01-23 05:32:09,2021-01-27 14:26:01,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,朱军,18195506354,天津市拉萨市黄浦齐齐哈尔路d座 307096
81417556232478,已完成,2021-01-23 20:33:59,2021-01-25 14:24:31,借记卡,哇鸥心意优享礼盒,2102,2,1334,30,1304,孙宁,13423494961,甘肃省成都市怀柔香港路Z座 548158
81417556232762,已关闭,2021-01-25 01:48:06,2021-01-28 18:30:21,借记卡,哇鸥乐意优享礼盒,2101,5,2225,0,2225,商玉珍,18527084504,新疆维吾尔自治区北京县安次罗街Q座 545989
81417556230703,已完成,2021-01-26 02:03:18,2021-01-28 20:54:22,借记卡,哇鸥心意优享礼盒,2102,1,667,30,637,朱玉兰,18658319516,北京市明市丰都六安路n座 673100
81417556232615,已完成,2021-01-23 14:53:25,2021-01-31 22:39:35,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,赵刚,18046287445,北京市秀云县怀柔潜江街T座 655200
81417556231776,已完成,2021-01-25 01:33:35,2021-01-25 19:59:03,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,田丽华,13104873916,湖南省亮市白云孙路Y座 996678
81417556231220,已完成,2021-01-30 02:16:08,2021-01-30 05:41:12,借记卡,哇鸥乐意优享礼盒,2101,2,890,40,850,张兰英,18001576786,福建省沈阳县魏都合山路Q座 227214
81417556231999,已关闭,2021-01-23 19:32:42,2021-01-27 03:38:00,借记卡,哇鸥顺意优享礼盒,2110,3,3354,40,3314,陈华,18511391076,云南省北镇县静安宋街H座 427986
81417556231118,已完成,2021-01-21 12:05:37,2021-01-27 06:44:35,借记卡,哇鸥心意优享礼盒,2102,4,2668,0,2668,鞠丽丽,13683140055,山东省鑫县西峰南京街W座 135498
81417556230452,已关闭,2021-01-29 08:05:08,2021-02-01 12:51:11,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,童桂芳,18613758521,西藏自治区洋县新城徐街G座 901304
81417556230646,已关闭,2021-01-21 11:53:57,2021-01-27 20:02:33,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,周静,15524584204,甘肃省凤兰市高坪兴城街R座 588100
81417556232664,已关闭,2021-01-31 05:09:15,2021-02-01 22:04:22,借记卡,哇鸥乐意优享礼盒,2101,6,2670,0,2670,蒲丹,15535473028,青海省永安县高坪廖街G座 890167
81417556231346,已关闭,2021-01-22 08:48:47,2021-01-30 22:19:48,借记卡,哇鸥心意优享礼盒,2102,3,2001,20,1981,胡华,15333751374,江苏省六盘水县牧野齐齐哈尔路e座 300773
81417556231550,已关闭,2021-01-22 06:23:06,2021-01-29 01:57:21,借记卡,哇鸥心意优享礼盒,2102,2,1334,40,1294,王桂香,15343991116,广西壮族自治区合山县高明哈尔滨街t座 808353
81417556232933,已完成,2021-01-22 07:40:25,2021-01-24 09:44:38,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,邱燕,18234454361,浙江省文市璧山长沙路g座 436841
81417556230110,已完成,2021-01-21 19:00:04,2021-02-01 22:04:31,借记卡,哇鸥乐意优享礼盒,2101,4,1780,0,1780,陆桂荣,15615049694,内蒙古自治区华县孝南关岭街I座 505778
81417556231498,已关闭,2021-01-22 05:13:07,2021-01-28 03:04:03,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,谢刚,18094860885,澳门特别行政区浩县合川张路E座 473526
81417556231811,已关闭,2021-01-22 04:14:26,2021-01-24 14:03:06,借记卡,哇鸥顺意优享礼盒,2110,3,3354,0,3354,杨颖,15704859014,台湾省荆门市金平彭街Z座 740690
81417556232684,已完成,2021-01-23 01:04:42,2021-01-26 02:04:53,借记卡,哇鸥心意优享礼盒,2102,1,667,40,627,陈荣,13498181725,香港特别行政区玉兰县浔阳张街X座 834705
81417556230444,已关闭,2021-01-22 01:19:32,2021-01-27 08:04:52,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,温杨,15876013168,四川省梧州市清河北京路M座 181477
81417556231283,已关闭,2021-01-23 13:38:49,2021-01-25 14:20:27,借记卡,哇鸥心意优享礼盒,2102,1,667,30,637,张莉,14594980076,黑龙江省阜新县大东潘路R座 198769
81417556230481,已关闭,2021-01-24 16:40:23,2021-01-27 07:18:31,借记卡,哇鸥顺意优享礼盒,2110,4,4472,20,4452,侯淑兰,15206004960,湖北省瑞县梁平嘉禾街R座 347001
81417556230836,已关闭,2021-01-27 17:46:21,2021-02-01 16:41:13,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,林淑华,14566230899,宁夏回族自治区东市上街东莞路z座 786303
81417556231458,已完成,2021-01-24 06:28:33,2021-01-30 10:11:07,借记卡,哇鸥心意优享礼盒,2102,4,2668,20,2648,阳慧,13606892457,澳门特别行政区春梅县清河钱街n座 505648
81417556232882,已关闭,2021-01-24 11:26:37,2021-01-24 14:19:23,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,罗红,18134580136,江苏省北镇市怀柔方路I座 700211
81417556230038,已关闭,2021-01-24 17:28:28,2021-02-01 07:20:27,借记卡,哇鸥心意优享礼盒,2102,4,2668,0,2668,郭阳,14530151168,湖北省宁德市翔安北京街n座 182702
81417556232248,已关闭,2021-01-26 15:07:04,2021-01-28 15:44:03,借记卡,哇鸥乐意优享礼盒,2101,3,1335,40,1295,罗丽丽,18873556467,辽宁省南京县南湖石街Q座 795348
81417556231165,已关闭,2021-01-28 16:52:59,2021-01-28 19:27:50,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,左东,14576983179,山东省淑华县南湖沈阳街m座 971082
81417556232744,已关闭,2021-01-21 02:33:37,2021-01-22 16:14:00,借记卡,哇鸥顺意优享礼盒,2110,4,4472,30,4442,唐龙,13866529075,重庆市南京县浔阳赵路b座 413094
81417556230216,已完成,2021-01-24 02:25:03,2021-02-01 13:00:42,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,彭雪,18567866601,湖北省利市梁平杜路C座 203764
81417556231066,已关闭,2021-01-22 06:22:59,2021-01-28 12:49:08,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,王芳,18849660128,广东省阳县沈河成都街c座 168769
81417556232583,已完成,2021-01-24 13:51:45,2021-01-25 22:58:41,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,叶璐,15073100032,山西省婷婷县崇文荆门路w座 693888
81417556231557,已关闭,2021-01-24 14:50:21,2021-01-31 19:44:03,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,王金凤,14514123411,西藏自治区小红县崇文沈阳路a座 707042
81417556230312,已完成,2021-01-30 00:41:19,2021-01-30 01:55:58,借记卡,哇鸥顺意优享礼盒,2110,2,2236,20,2216,王丽娟,13166262745,吉林省六盘水县永川李街p座 284635
81417556232517,已关闭,2021-01-22 04:55:14,2021-01-28 08:30:56,借记卡,哇鸥乐意优享礼盒,2101,6,2670,0,2670,周晶,15677793755,河北省娜市大兴侯街C座 722632
81417556230232,已完成,2021-01-27 05:30:01,2021-01-29 23:14:38,借记卡,哇鸥顺意优享礼盒,2110,1,1118,30,1088,徐龙,18656731599,黑龙江省东市大兴杨街r座 691838
81417556231949,已完成,2021-01-21 14:44:20,2021-01-28 20:10:45,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,刘春梅,18051175640,宁夏回族自治区长春市龙潭李路B座 981254
81417556232033,已关闭,2021-01-29 12:36:24,2021-01-30 12:53:56,借记卡,哇鸥乐意优享礼盒,2101,5,2225,0,2225,贺东,13014171339,浙江省丽丽县翔安高路o座 123363
81417556232176,已关闭,2021-01-24 22:12:02,2021-01-27 18:22:21,借记卡,哇鸥顺意优享礼盒,2110,3,3354,0,3354,李欢,13844429025,陕西省深圳市蓟州边街M座 296667
81417556231177,已关闭,2021-01-29 22:18:29,2021-01-30 22:36:41,借记卡,哇鸥乐意优享礼盒,2101,2,890,20,870,毛燕,15369084403,西藏自治区晶市闵行太原路S座 461282
81417556232394,已关闭,2021-01-28 00:55:54,2021-01-28 21:41:44,借记卡,哇鸥心意优享礼盒,2102,8,5336,0,5336,黄建国,15076565249,云南省博市大兴罗街u座 280146
81417556231140,已完成,2021-01-25 18:48:38,2021-01-25 19:35:58,借记卡,哇鸥顺意优享礼盒,2110,5,5590,0,5590,罗娟,18707530381,青海省广州市友好武汉路V座 548766
81417556232320,已关闭,2021-01-22 08:40:47,2021-01-29 14:59:11,借记卡,哇鸥心意优享礼盒,2102,4,2668,40,2628,李飞,13391963091,新疆维吾尔自治区萍县金平兰州街z座 379220
81417556230225,已完成,2021-01-21 19:57:40,2021-01-26 11:25:43,借记卡,哇鸥心意优享礼盒,2102,1,667,30,637,郑娟,15301051996,内蒙古自治区秀云市六枝特杨路h座 263656
81417556231677,已关闭,2021-01-26 06:39:17,2021-01-26 21:44:54,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,赵秀华,15659949003,台湾省建军县朝阳长沙路x座 935632
81417556232010,已完成,2021-01-25 21:59:12,2021-01-27 02:55:13,借记卡,哇鸥心意优享礼盒,2102,4,2668,0,2668,韩建华,18871208698,河北省颖县徐汇薛街X座 908542
81417556232707,已关闭,2021-01-26 06:51:32,2021-02-01 16:56:31,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,赵龙,14542405204,福建省欣县南溪兰州街H座 505455
81417556232254,已关闭,2021-01-25 08:28:42,2021-01-25 20:44:18,借记卡,哇鸥乐意优享礼盒,2101,2,890,20,870,李鑫,13539828286,甘肃省桂花市锡山张家港路t座 324176
81417556231567,已完成,2021-01-26 01:02:58,2021-02-01 12:25:04,借记卡,哇鸥顺意优享礼盒,2110,1,1118,30,1088,黎建华,13589475010,河南省兰英县长寿太原街I座 430305
81417556231513,已完成,2021-01-21 06:21:40,2021-01-29 08:33:38,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,童玲,13224164676,山西省哈尔滨县海港拉萨路q座 621279
81417556232142,已完成,2021-01-24 12:57:11,2021-01-31 21:19:38,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,王桂兰,13455169703,吉林省燕县梁平太原街j座 381997
81417556231589,已关闭,2021-01-22 17:46:42,2021-01-30 04:34:06,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,杜敏,13620502478,四川省西安市南溪拉萨路C座 173034
81417556231681,已完成,2021-01-23 19:15:05,2021-01-24 05:30:45,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,郭华,18592251336,黑龙江省淑英县丰都汕尾街k座 853508
