订单编号,订单状态,下单时间,发货时间,支付方式,商品型号,商品编码,商品件数,商品金额,优惠金额,实付金额,收货人姓名,收货人地址
81417556238443,已关闭,2021-01-21 10:06:22,2021-01-21 12:41:34,借记卡,哇鸥顺意优享礼盒,2110,4,4472,30,4442,郑玉珍,甘肃省福州县璧山李路d座 185902
81417556238878,已关闭,2021-01-22 22:15:26,2021-01-30 17:33:31,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,段林,西藏自治区颖市锡山陈街A座 970693
81417556239856,已完成,2021-01-28 02:04:38,2021-02-01 11:30:27,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,林婷,澳门特别行政区张家港市秀英北京街i座 585442
81417556233266,已完成,2021-01-25 02:19:50,2021-01-27 08:30:41,借记卡,哇鸥顺意优享礼盒,2110,2,2236,20,2216,刘芳,安徽省太原县兴山柳州路c座 878064
81417556239871,已完成,2021-01-29 17:52:09,2021-01-30 07:30:49,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,郝平,宁夏回族自治区成县牧野大冶路v座 173046
81417556235868,已完成,2021-01-22 03:03:58,2021-01-25 05:43:11,借记卡,哇鸥顺意优享礼盒,2110,2,2236,30,2206,苏凯,山东省昆明市丰都刘路G座 326454
81417556233631,已完成,2021-01-24 13:14:38,2021-02-01 22:27:35,借记卡,哇鸥心意优享礼盒,2102,5,3335,0,3335,谢平,天津市欢市城北宁街o座 299965
81417556232619,已完成,2021-01-26 14:17:18,2021-01-26 21:34:54,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,贾丹,海南省阜新市山亭天津街f座 354738
81417556231812,已完成,2021-01-28 20:05:35,2021-02-01 20:54:48,借记卡,哇鸥心意优享礼盒,2102,5,3335,0,3335,王桂芝,广东省雷县沈北新宋路J座 938058
81417556236415,已完成,2021-01-26 11:37:25,2021-01-28 01:49:19,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,吴小红,河南省建军市黄浦林街U座 323121
81417556235754,已关闭,2021-01-25 11:02:40,2021-02-01 07:37:49,借记卡,哇鸥顺意优享礼盒,2110,1,1118,30,1088,张秀华,天津市广州市高明郑路F座 898711
81417556237028,已完成,2021-01-26 10:05:26,2021-01-31 16:11:40,借记卡,哇鸥顺意优享礼盒,2110,1,1118,30,1088,李秀兰,上海市郑州市黄浦广州路p座 832505
81417556233432,已关闭,2021-01-21 07:08:54,2021-01-23 15:01:08,借记卡,哇鸥乐意优享礼盒,2101,1,445,20,425,乔玉,青海省梧州县山亭邓街G座 117423
81417556231626,已关闭,2021-01-29 08:37:57,2021-01-30 20:34:12,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,王想,广东省惠州县六枝特张路F座 198601
81417556230377,已关闭,2021-01-25 11:34:11,2021-01-26 13:58:34,借记卡,哇鸥心意优享礼盒,2102,5,3335,20,3315,宁丹,台湾省莹市花溪冯街f座 479288
81417556236366,已完成,2021-01-27 20:06:31,2021-01-30 10:13:51,借记卡,哇鸥乐意优享礼盒,2101,4,1780,40,1740,谢桂兰,上海市昆明县清河张路y座 509613
81417556236510,已关闭,2021-01-23 20:29:02,2021-01-25 08:45:22,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,尚志强,台湾省佛山市花溪巢湖街s座 300900
81417556234869,已关闭,2021-01-23 04:30:40,2021-01-25 04:30:03,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,李红霞,香港特别行政区郑州市合川童路f座 426322
81417556232463,已关闭,2021-01-21 12:47:23,2021-01-23 14:34:55,借记卡,哇鸥顺意优享礼盒,2110,5,5590,20,5570,刘桂花,山东省银川县南长贾路m座 335946
81417556230702,已完成,2021-01-25 14:45:25,2021-01-27 11:07:07,借记卡,哇鸥乐意优享礼盒,2101,7,3115,40,3075,段秀荣,湖北省阳市长寿周路B座 159282
81417556239905,已完成,2021-01-22 09:37:48,2021-01-22 18:27:35,借记卡,哇鸥心意优享礼盒,2102,11,7337,40,7297,黄霞,河南省金凤市清浦饶街h座 413782
81417556236197,已完成,2021-01-23 07:03:42,2021-01-27 12:22:57,借记卡,哇鸥乐意优享礼盒,2101,7,3115,0,3115,唐秀珍,广东省慧县沙市大冶路N座 371329
81417556230171,已完成,2021-01-23 01:21:37,2021-01-30 00:28:41,借记卡,哇鸥心意优享礼盒,2102,3,2001,0,2001,窦霞,辽宁省文市海陵魏街o座 120545
81417556238256,已完成,2021-01-28 11:02:25,2021-02-01 17:34:10,借记卡,哇鸥乐意优享礼盒,2101,3,1335,0,1335,李秀兰,河南省志强县城东吴路e座 133079
81417556236039,已完成,2021-01-21 09:44:00,2021-01-22 12:53:30,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,冉想,新疆维吾尔自治区通辽市沙市金路L座 189949
81417556239288,已完成,2021-01-28 12:33:57,2021-01-29 15:42:14,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,张慧,宁夏回族自治区旭市南溪刘街p座 868932
81417556237891,已完成,2021-01-26 23:37:30,2021-02-01 08:35:43,借记卡,哇鸥乐意优享礼盒,2101,4,1780,20,1760,鲁鹏,内蒙古自治区南昌市东丽陈街s座 780027
81417556233979,已完成,2021-01-23 18:42:02,2021-01-24 19:48:02,借记卡,哇鸥心意优享礼盒,2102,3,2001,0,2001,黄鑫,浙江省阜新市高港兴城街O座 795718
81417556239913,已完成,2021-01-29 05:48:46,2021-01-31 08:14:07,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,姚秀兰,湖北省海门县南湖查街x座 710797
81417556237116,已关闭,2021-01-24 22:50:38,2021-01-26 10:29:00,借记卡,哇鸥顺意优享礼盒,2110,5,5590,0,5590,谢桂珍,黑龙江省永安县涪城潮州街Y座 879351
81417556231229,已关闭,2021-01-30 13:43:53,2021-01-31 12:50:50,借记卡,哇鸥顺意优享礼盒,2110,3,3354,20,3334,赵坤,安徽省凤英县龙潭黄街S座 328285
81417556237672,已完成,2021-01-24 16:20:14,2021-02-01 03:16:22,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,孟岩,天津市郑州县沈河陈路E座 296002
81417556232629,已关闭,2021-01-26 11:57:54,2021-01-27 04:08:04,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,郑成,香港特别行政区秀梅市金平刘路e座 503865
81417556233118,已完成,2021-01-22 14:07:41,2021-01-25 04:56:42,借记卡,哇鸥顺意优享礼盒,2110,4,4472,20,4452,赵鑫,江西省乌鲁木齐市山亭西安路L座 396427
81417556233692,已完成,2021-01-23 11:52:08,2021-01-30 07:00:08,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,尹洁,西藏自治区丹市南长王街M座 323529
81417556236252,已完成,2021-01-28 06:36:37,2021-01-31 11:20:37,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,焦淑英,香港特别行政区邯郸县淄川齐齐哈尔街K座 310903
81417556232743,已关闭,2021-01-23 10:09:07,2021-01-26 22:44:02,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,秦佳,重庆市雪县东城上海街e座 440374
81417556235786,已关闭,2021-01-24 23:05:04,2021-01-29 14:14:17,借记卡,哇鸥乐意优享礼盒,2101,7,3115,0,3115,胡桂芳,吉林省凯县翔安黎路E座 623539
81417556236239,已完成,2021-01-27 05:15:38,2021-01-31 15:20:53,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,郜亮,黑龙江省岩市黄浦马鞍山路C座 823950
81417556237751,已完成,2021-01-24 04:52:28,2021-01-30 06:39:45,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,单丽华,宁夏回族自治区桂英县双滦饶街s座 572115
81417556235226,已关闭,2021-01-21 20:06:35,2021-01-27 06:23:40,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,刘淑英,上海市汕尾县南溪乌鲁木齐路K座 139561
81417556234926,已完成,2021-01-24 14:11:52,2021-01-31 05:51:54,借记卡,哇鸥乐意优享礼盒,2101,4,1780,0,1780,田俊,福建省大冶市城东淮安路s座 835661
81417556230790,已完成,2021-01-22 15:14:35,2021-02-01 07:37:38,借记卡,哇鸥顺意优享礼盒,2110,3,3354,0,3354,胡建平,山西省秀珍县普陀吴路e座 699801
81417556234520,已关闭,2021-01-28 05:14:59,2021-01-31 23:30:42,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,王龙,福建省辽阳县永川巢湖街s座 644304
81417556230068,已关闭,2021-01-22 15:09:42,2021-01-25 09:59:09,借记卡,哇鸥乐意优享礼盒,2101,1,445,20,425,林丹,宁夏回族自治区丽华县城东武汉街p座 385086
81417556236518,已关闭,2021-01-21 15:45:38,2021-01-26 10:43:22,借记卡,哇鸥心意优享礼盒,2102,5,3335,0,3335,李艳,内蒙古自治区辛集县南湖郑路T座 916642
81417556232719,已关闭,2021-01-30 15:00:41,2021-02-01 20:57:30,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,齐建国,山西省璐市海陵李街L座 734150
81417556235524,已完成,2021-01-23 11:47:15,2021-01-25 23:52:54,借记卡,哇鸥乐意优享礼盒,2101,1,445,40,405,郑春梅,河南省银川市普陀西宁路w座 412750
81417556234001,已关闭,2021-01-25 05:28:27,2021-01-28 16:46:40,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,汤杨,青海省坤市清城黄路a座 799149
81417556236805,已关闭,2021-02-01 02:10:47,2021-02-01 21:54:58,借记卡,哇鸥乐意优享礼盒,2101,8,3560,20,3540,金博,湖北省邯郸市沙湾黄街A座 803356
81417556232732,已完成,2021-01-24 10:54:19,2021-02-01 21:43:12,借记卡,哇鸥乐意优享礼盒,2101,3,1335,0,1335,段欣,福建省娜县海陵贵阳街p座 370481
81417556234404,已完成,2021-01-21 12:07:06,2021-01-23 03:05:59,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,贾楠,吉林省太原市崇文冯街h座 326166
81417556232529,已完成,2021-01-27 12:09:25,2021-01-31 05:12:28,借记卡,哇鸥乐意优享礼盒,2101,1,445,30,415,颜洁,海南省建县平山沈路L座 346465
81417556234683,已完成,2021-01-26 23:37:10,2021-02-01 03:51:01,借记卡,哇鸥心意优享礼盒,2102,1,667,20,647,龚玉兰,甘肃省超县崇文韦路F座 625992
81417556231113,已关闭,2021-01-23 14:27:51,2021-01-31 13:18:58,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,牟凤英,四川省嘉禾市璧山杨路N座 248611
81417556233708,已完成,2021-01-22 01:35:35,2021-02-01 21:59:15,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,高鑫,甘肃省长春市孝南关路v座 159008
81417556236523,已关闭,2021-01-26 07:15:09,2021-01-27 10:49:02,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,张玉英,吉林省明县西峰刘街X座 316390
81417556233180,已关闭,2021-01-21 10:34:54,2021-01-31 04:22:38,借记卡,哇鸥心意优享礼盒,2102,5,3335,30,3305,刘杨,浙江省婷县涪城张家港街Y座 849739
81417556230307,已完成,2021-01-22 00:04:53,2021-01-25 06:14:17,借记卡,哇鸥顺意优享礼盒,2110,9,10062,40,10022,张明,江西省张家港市安次邓路O座 160476
81417556238335,已完成,2021-01-24 09:36:34,2021-01-31 01:07:03,借记卡,哇鸥顺意优享礼盒,2110,1,1118,30,1088,马平,山西省潮州市涪城兴城路j座 495806
81417556233864,已关闭,2021-01-21 19:58:42,2021-01-23 11:36:15,借记卡,哇鸥顺意优享礼盒,2110,6,6708,0,6708,梁小红,西藏自治区红梅县滨城张街P座 108809
81417556236850,已关闭,2021-01-21 19:01:04,2021-01-25 12:30:58,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,吴燕,台湾省海门县六枝特辛集路x座 737535
81417556238827,已完成,2021-01-24 04:32:12,2021-01-26 17:12:14,借记卡,哇鸥心意优享礼盒,2102,5,3335,30,3305,何淑珍,四川省飞市高明佟路w座 487479
81417556233827,已完成,2021-01-29 11:51:17,2021-02-01 12:25:29,借记卡,哇鸥乐意优享礼盒,2101,1,445,20,425,董华,上海市璐市吉区刘路M座 942488
81417556235669,已关闭,2021-01-29 19:43:28,2021-01-31 23:44:37,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,陈凯,新疆维吾尔自治区哈尔滨市崇文黄街F座 945300
81417556237942,已完成,2021-01-21 04:38:36,2021-01-26 15:34:31,借记卡,哇鸥顺意优享礼盒,2110,2,2236,0,2236,邹瑞,青海省阜新县和平莫路S座 722442
81417556236803,已关闭,2021-01-21 14:54:54,2021-01-28 07:05:59,借记卡,哇鸥心意优享礼盒,2102,1,667,20,647,赵英,山西省鹏县吉区陈街l座 777946
81417556235005,已关闭,2021-01-24 22:57:25,2021-01-31 15:15:03,借记卡,哇鸥心意优享礼盒,2102,1,667,20,647,蒙桂芝,辽宁省荣县萧山王路T座 980314
81417556239573,已完成,2021-01-27 14:54:22,2021-01-29 01:30:20,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,彭丽娟,辽宁省哈尔滨市璧山太原路U座 405578
81417556230202,已关闭,2021-01-22 05:12:39,2021-01-22 07:35:20,借记卡,哇鸥心意优享礼盒,2102,3,2001,30,1971,毕婷婷,黑龙江省郑州市合川银川路m座 948112
81417556230347,已完成,2021-01-31 10:50:28,2021-02-01 16:15:59,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,沈亮,福建省琴县友好潜江路K座 127845
81417556232111,已完成,2021-01-22 01:12:59,2021-01-29 06:53:52,借记卡,哇鸥乐意优享礼盒,2101,3,1335,20,1315,卢秀芳,宁夏回族自治区莹县西夏郭路f座 589917
81417556234005,已关闭,2021-01-22 03:33:33,2021-01-29 23:38:27,借记卡,哇鸥心意优享礼盒,2102,2,1334,20,1314,张秀兰,北京市凤兰县门头沟嘉禾街E座 973461
81417556235970,已关闭,2021-01-21 07:30:22,2021-02-01 18:58:11,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,田岩,贵州省重庆市高明关岭街e座 931395
81417556238895,已关闭,2021-01-22 06:54:49,2021-02-01 20:37:15,借记卡,哇鸥心意优享礼盒,2102,1,667,30,637,吕莹,澳门特别行政区秀芳市滨城钱街B座 354844
81417556231628,已完成,2021-01-27 03:26:04,2021-01-30 06:40:56,借记卡,哇鸥乐意优享礼盒,2101,3,1335,0,1335,李秀华,重庆市哈尔滨市朝阳王街o座 431953
81417556237151,已关闭,2021-01-22 03:23:52,2021-01-24 15:34:19,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,马玉珍,新疆维吾尔自治区敏县高坪胡街f座 313612
81417556238626,已关闭,2021-01-29 06:27:30,2021-02-01 02:30:18,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,毛阳,广东省洁市华龙哈尔滨路Y座 848657
81417556239476,已关闭,2021-01-24 10:32:31,2021-02-01 19:56:02,借记卡,哇鸥心意优享礼盒,2102,3,2001,0,2001,袁亮,澳门特别行政区齐齐哈尔县秀英黄街Q座 735128
81417556232942,已关闭,2021-01-23 19:59:37,2021-02-01 10:41:31,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,李建军,青海省建市静安荆门街F座 808844
81417556234460,已关闭,2021-01-24 16:41:17,2021-01-29 02:18:37,借记卡,哇鸥顺意优享礼盒,2110,1,1118,30,1088,秦桂芳,甘肃省关岭市牧野何路v座 976601
81417556231362,已完成,2021-01-26 09:54:34,2021-01-28 13:18:49,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,明梅,辽宁省阜新市牧野张路F座 121398
81417556231501,已完成,2021-01-23 23:25:54,2021-01-29 08:57:26,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,吴林,宁夏回族自治区桂香县华龙张街X座 566897
81417556230855,已关闭,2021-01-24 15:23:12,2021-01-31 02:09:33,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,王欢,江西省玲县梁平石街t座 625199
81417556232001,已完成,2021-01-22 14:53:02,2021-01-26 03:03:53,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,魏小红,云南省鑫县城东西宁街q座 854940
81417556235286,已完成,2021-01-26 21:16:08,2021-01-30 08:33:56,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,汤秀芳,湖南省洁县涪城许路T座 585280
81417556236368,已关闭,2021-01-24 09:08:04,2021-02-01 09:59:40,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,黄帆,四川省莹县清浦王街d座 144536
81417556230577,已关闭,2021-01-23 04:53:59,2021-01-25 15:55:11,借记卡,哇鸥心意优享礼盒,2102,2,1334,30,1304,韦瑜,河南省兰英市安次深圳街c座 273802
81417556236691,已关闭,2021-01-21 09:15:54,2021-01-31 16:31:23,借记卡,哇鸥心意优享礼盒,2102,2,1334,0,1334,邵辉,广西壮族自治区辉县黄浦张路C座 386967
81417556238229,已关闭,2021-01-26 12:34:07,2021-01-27 04:51:16,借记卡,哇鸥乐意优享礼盒,2101,3,1335,20,1315,王晨,台湾省强市高港阜新街z座 737486
81417556237003,已完成,2021-01-27 19:54:07,2021-01-28 16:11:33,借记卡,哇鸥顺意优享礼盒,2110,1,1118,30,1088,梁伟,辽宁省永安市安次海口街Y座 914060
81417556231713,已完成,2021-01-25 04:59:58,2021-01-29 00:58:25,借记卡,哇鸥心意优享礼盒,2102,1,667,20,647,丛红霞,青海省俊市上街廉路N座 273133
81417556236621,已完成,2021-01-24 20:33:57,2021-02-01 15:27:32,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,黄娜,澳门特别行政区长沙市合川包街X座 625819
81417556230573,已完成,2021-01-21 16:06:06,2021-02-01 06:14:28,借记卡,哇鸥心意优享礼盒,2102,2,1334,20,1314,陈燕,甘肃省鹏市金平黎街s座 252723
81417556238312,已完成,2021-01-24 15:27:27,2021-01-26 10:35:19,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,景丹丹,广东省台北县长寿王街r座 438196
81417556235093,已关闭,2021-01-25 13:15:17,2021-01-28 08:48:04,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,王兵,江苏省峰县南长南昌街A座 105975
81417556234924,已完成,2021-01-22 07:39:34,2021-01-31 17:10:05,借记卡,哇鸥乐意优享礼盒,2101,1,445,0,445,乔萍,湖北省杨市浔阳张路F座 264240
81417556233216,已完成,2021-01-23 09:29:55,2021-01-26 05:54:31,借记卡,哇鸥乐意优享礼盒,2101,3,1335,0,1335,刘军,黑龙江省浩县清河杨路B座 693327
81417556239935,已完成,2021-01-22 19:19:23,2021-01-29 21:18:27,借记卡,哇鸥乐意优享礼盒,2101,3,1335,20,1315,邓艳,湖南省桂英县华龙长沙路C座 451312
81417556235612,已关闭,2021-01-26 17:52:30,2021-02-01 06:56:31,借记卡,哇鸥顺意优享礼盒,2110,4,4472,0,4472,黄华,海南省成市金平潘路U座 589374
81417556230992,已关闭,2021-01-24 23:04:55,2021-02-01 10:26:03,借记卡,哇鸥顺意优享礼盒,2110,1,1118,0,1118,曹淑兰,香港特别行政区金凤市沙市杭州路Q座 318127
81417556237658,已关闭,2021-01-23 01:09:01,2021-01-28 21:58:16,借记卡,哇鸥心意优享礼盒,2102,3,2001,0,2001,王龙,重庆市雪梅市翔安汕尾路J座 600427
81417556233078,已完成,2021-01-25 13:59:01,2021-01-26 07:50:45,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,袁春梅,江西省秀梅市牧野熊路c座 837449
81417556239057,已关闭,2021-01-27 06:35:36,2021-02-01 21:17:02,借记卡,哇鸥心意优享礼盒,2102,1,667,0,667,郑彬,江西省璐县吉区巢湖路Q座 436043
81417556232105,已关闭,2021-01-22 00:02:09,2021-01-31 19:08:24,借记卡,哇鸥顺意优享礼盒,2110,1,1118,20,1098,刘秀荣,天津市洁市清河齐齐哈尔街C座 984249
81417556234355,已关闭,2021-02-01 14:33:47,2021-02-01 21:03:32,借记卡,哇鸥顺意优享礼盒,2110,4,4472,20,4452,阎桂花,广西壮族自治区马鞍山市高港六盘水路y座 879005
81417556230490,已关闭,2021-01-21 15:27:56,2021-01-31 20:59:44,借记卡,哇鸥乐意优享礼盒,2101,2,890,0,890,梁玉,山西省六安县高坪贵阳街W座 706161
81417556231894,已关闭,2021-01-26 17:01:11,2021-01-28 03:20:30,借记卡,哇鸥乐意优享礼盒,2101,1,445,20,425,吴丽娟,西藏自治区昆明县高港杨街I座 982608
81417556235158,已完成,2021-01-22 20:26:19,2021-01-27 07:16:18,借记卡,哇鸥心意优享礼盒,2102,5,3335,0,3335,李璐,甘肃省西宁市清城郑街Y座 524747
81417556238332,已关闭,2021-01-25 07:20:09,2021-01-31 09:41:15,借记卡,哇鸥乐意优享礼盒,2101,4,1780,30,1750,朱旭,山西省伟市高明郭路r座 684779
